ID,Stop Name,Latitude,Longitude
182196815,Stenhouse Mill Lane,55.929855,-3.257595
181806989,Chesser Avenue,55.931904,-3.250506
181629967,Saughton Park,55.932835,-3.247287
181672647,Balgreen Primary School,55.936504,-3.247837
181565388,Saughton Rose Gardens,55.93441,-3.246041
181547843,Stevenson Grove,55.935898,-3.245641
181421088,Westfield Avenue,55.937397,-3.243288
181209759,Roseburn Street,55.940437,-3.239334
181304637,Westfield Sainsbury's,55.939178,-3.241103
181227743,Westfield Road,55.937061,-3.239851
181476037,Balgreen Road,55.934265,-3.244452
181252601,Gorgie Park Road,55.936481,-3.240329
180972616,Stewart Terrace,55.937252,-3.235279
180722844,Tynecastle,55.938339,-3.230751
180587874,Gorgie City Farm,55.938931,-3.228304
180974139,Sinclair Place,55.935596,-3.235402
180905503,Stewart Terrace,55.934765,-3.234223
182849086,Cross Road,55.907509,-3.270564
182639926,Spylaw Bank,55.907181,-3.266842
182135333,Colinton Village,55.907326,-3.257808
182707348,Torphin Bank,55.901279,-3.268393
182691800,Woodfield Avenue,55.903141,-3.268006
182531187,Fernielaw Avenue,55.903568,-3.265108
182391978,West Mill Road,55.904148,-3.262584
182308420,Grant Avenue,55.904068,-3.261094
182114920,Barnshot Road,55.906826,-3.257472
181878080,Rustic Cottages,55.908264,-3.253152
181700826,Merchiston Castle School,55.910183,-3.24987
181553591,Redford Barracks,55.911846,-3.24714
181340171,Elliot Road,55.913879,-3.243205
181223830,Elliot Place,55.914936,-3.241063
181489647,Redford Drive,55.906616,-3.2463
181222345,Redford House,55.90556,-3.24158
180983959,Dreghorn Park,55.904747,-3.237363
180647675,Dreghorn Drive,55.904015,-3.23139
180277669,Dreghorn Avenue,55.904057,-3.224769
180187556,Cockit Hat,55.904457,-3.223134
180268839,Oxgangs Library,55.905514,-3.224527
180391718,Oxgangs Avenue,55.907021,-3.226638
180559557,Oxgangs Terrace,55.908581,-3.22955
180768557,Colinton Mains Road,55.909588,-3.23323
180899836,Colinton Mains Loan,55.910263,-3.235539
181044922,Oxgangs Primary School,55.911903,-3.238039
181110840,Firrhill High School,55.913456,-3.239128
181211836,Craiglockhart Road,55.915928,-3.240791
181276639,Craiglockhart Park,55.917255,-3.241873
181251008,Craiglockhart Campus,55.918922,-3.241318
181288292,Craiglockhart Drive,55.920815,-3.241875
181392217,Craiglockhart Church,55.922081,-3.24366
181660750,Water of Leith Centre,55.923164,-3.248399
181545589,Allan Park Road,55.924641,-3.246254
181866104,Chesser Grove,55.930492,-3.251645
181719131,Edinburgh West Retail Park,55.929222,-3.249091
181592554,Corn Exchange,55.927376,-3.246935
181393679,Slateford Station,55.92717,-3.243391
181295041,Hutchison Place,55.928383,-3.241557
181197455,Hutchison Crossway,55.929974,-3.23972
181039740,Moat Drive,55.93243,-3.236758
181138342,Glenlockhart Valley,55.921066,-3.239179
180988276,Craiglockhart Sports Centre,55.923977,-3.236327
180876125,Perdrixknowe,55.925526,-3.234232
180713996,Meggetland Terrace,55.927464,-3.231221
180501487,Polwarth Terrace,55.929531,-3.227302
180609229,Ashley Terrace,55.933002,-3.229028
180374244,Spylaw Road,55.930588,-3.224966
180442017,Polwarth Terrace,55.929283,-3.226253
180268074,Gray's Loan,55.930115,-3.223095
180074725,Gillsland Road,55.931019,-3.219586
179919939,George Watsons College,55.931759,-3.216776
179627188,Napier University,55.933743,-3.211428
180293240,Myreside Stadium,55.927269,-3.223709
180282851,Morningside Gardens,55.922676,-3.223788
180319178,Myreside Court,55.925652,-3.224266
180207505,Craighouse Gardens,55.924614,-3.222329
180039809,Balcarres Court,55.924725,-3.219324
179859637,Bruce Street,55.925026,-3.216085
179612918,Belhaven Place,55.925625,-3.211639
180716374,Shandon Place,55.935436,-3.230803
180577831,St Michaels Church,55.936565,-3.228261
180485849,Springwell House,55.938049,-3.226531
180415938,Angle Park Terrace,55.937862,-3.225292
180407200,Henderson Terrace,55.939159,-3.225061
180444313,Murieston Crescent,55.939774,-3.225689
180309794,Dalry Primary School,55.941532,-3.223183
180133366,Caledonian Village,55.943516,-3.219915
